employee_id,survey_month,support_feeling,job_satisfaction,exhaustion_feeling,work_mood,feedback_text,department,location,job_title,worker_type,tenure_months
397,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Low wages. Poor equipment. Unfair treatment.,Pack House Operations,Ceres Pack House,Logistics Coordinator,Seasonal,2
398,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Good working environment. Supportive supervisors. Heavy workload. Poor equipment.,Citrus Production,Citrusdal,Irrigation Specialist,Permanent,120
400,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Too much overtime. Unfair treatment. Long hours. Good team.,Grape Production,Upington,Vineyard Supervisor,Seasonal,2
401,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Clear instructions. Fair pay. Poor communication. Low wages.,Maintenance,Dullstroom,Electrician,Permanent,40
402,2025-02,Sometimes supported,Neutral,Rarely,Happy,Fair management. Good communication. Safety concerns. Long hours.,Cattle Farming,Dullstroom,Cattle Herder,Permanent,181
403,2025-02,Rarely supported,Dissatisfied,Often,Neutral,Weather challenges. Inadequate breaks. Long hours. Safety is prioritized.,Citrus Production,Ceres,Farm Supervisor,Seasonal,2
406,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Safety is prioritized. Good working environment. Unfair treatment. Inadequate breaks.,Pack House Operations,Citrusdal Pack House,Floor Supervisor,Permanent,133
408,2025-02,Often supported,Satisfied,Rarely,Neutral,Respectful treatment. Good working environment. Proper equipment provided.,Maintenance,Citrusdal,Equipment Technician,Permanent,172
409,2025-02,Sometimes supported,Neutral,Rarely,Happy,Supportive supervisors. Fair pay. Too much overtime. Poor communication.,Administration,Upington,Admin Clerk,Permanent,103
410,2025-02,Sometimes supported,Neutral,Rarely,Very happy,Respectful treatment. Fair pay. Poor communication. Transportation issues.,Maintenance,Ceres,Mechanic,Permanent,140
411,2025-02,Often supported,Satisfied,Sometimes,Happy,Proper equipment provided. Opportunities to learn. Fair pay.,Logistics,Citrusdal Pack House,Forklift Operator,Permanent,110
413,2025-02,Often supported,Satisfied,Sometimes,Happy,Safety is prioritized. Good working environment. Respectful treatment.,Cattle Farming,Dullstroom,Milking Technician,Permanent,106
414,2025-02,Sometimes supported,Neutral,Rarely,Neutral,Good communication. Good team. Heavy workload. Housing problems.,Pack House Operations,Ceres Pack House,Machine Operator,Permanent,117
416,2025-02,Often supported,Satisfied,Rarely,Happy,Proper equipment provided. Good communication. Fair management.,Logistics,Upington,Driver,Permanent,100
417,2025-02,Often supported,Satisfied,Rarely,Neutral,Good communication. Regular breaks. Good team. Poor communication.,Maintenance,Citrusdal Pack House,Mechanic,Permanent,32
418,2025-02,Sometimes supported,Neutral,Often,Neutral,Fair management. Safety is prioritized. Weather challenges. Transportation issues.,Maintenance,Citrusdal Pack House,Equipment Technician,Permanent,68
420,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Clear instructions. Fair management. Heavy workload. Safety concerns.,Logistics,Upington,Dispatcher,Permanent,171
421,2025-02,Rarely supported,Dissatisfied,Often,Neutral,Poor equipment. Safety concerns. Unfair treatment.,Pack House Operations,Citrusdal Pack House,Machine Operator,Seasonal,3
426,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Safety is prioritized. Good communication. Transportation issues. Weather challenges.,Pack House Operations,Ceres Pack House,Packer,Permanent,5
429,2025-02,Rarely supported,Dissatisfied,Often,Very happy,Inadequate breaks. Too much overtime. Transportation issues.,Grape Production,Upington,Vineyard Supervisor,Seasonal,4
431,2025-02,Sometimes supported,Neutral,Often,Neutral,Respectful treatment. Opportunities to learn. Weather challenges. Low wages.,Logistics,Upington,Dispatcher,Contract,30
437,2025-02,Sometimes supported,Neutral,Often,Unhappy,Regular breaks. Clear instructions. Low wages. Poor equipment.,Logistics,Upington,Logistics Supervisor,Permanent,178
438,2025-02,Sometimes supported,Neutral,Rarely,Neutral,Fair pay. Fair management. Low wages. Poor communication.,Cattle Farming,Dullstroom,Milking Technician,Permanent,127
439,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Proper equipment provided. Opportunities to learn. Long hours. Heavy workload.,Maintenance,Dullstroom,Maintenance Supervisor,Permanent,67
440,2025-02,Sometimes supported,Neutral,Sometimes,Unhappy,Clear instructions. Good working environment. Low wages. Poor equipment.,Cattle Farming,Dullstroom,Farm Hand,Permanent,185
441,2025-02,Not at all supported,Very dissatisfied,Always,Unhappy,Low wages. Transportation issues. Poor equipment.,Maize Production,Graaff-Reinet,Crop Specialist,Seasonal,4
442,2025-02,Rarely supported,Dissatisfied,Always,Unhappy,Long hours. Poor equipment. Unfair treatment.,Pack House Operations,Citrusdal Pack House,Floor Supervisor,Seasonal,5
443,2025-02,Sometimes supported,Neutral,Sometimes,Unhappy,Regular breaks. Good team. Housing problems. Safety concerns.,Logistics,Citrusdal,Driver,Permanent,143
444,2025-02,Sometimes supported,Neutral,Rarely,Unhappy,Opportunities to learn. Good communication. Poor communication. Housing problems.,Administration,Dullstroom,HR Assistant,Permanent,9
447,2025-02,Sometimes supported,Neutral,Often,Unhappy,Opportunities to learn. Fair management. Poor equipment. Weather challenges.,Grape Production,Upington,Vineyard Worker,Seasonal,4
450,2025-02,Often supported,Satisfied,Sometimes,Neutral,Respectful treatment. Safety is prioritized. Good communication.,Administration,Graaff-Reinet,Office Manager,Permanent,85
451,2025-02,Sometimes supported,Neutral,Rarely,Unhappy,Good working environment. Respectful treatment. Safety concerns. Heavy workload.,Administration,Graaff-Reinet,Payroll Officer,Permanent,70
454,2025-02,Rarely supported,Dissatisfied,Sometimes,Unhappy,Low wages. Weather challenges. Long hours.,Pack House Operations,Citrusdal Pack House,Packer,Seasonal,2
455,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Good working environment. Fair management. Low wages. Too much overtime.,Logistics,Ceres,Warehouse Worker,Permanent,141
457,2025-02,Often supported,Satisfied,Rarely,Neutral,Good working environment. Clear instructions. Safety is prioritized.,Administration,Graaff-Reinet,Office Manager,Permanent,177
458,2025-02,Sometimes supported,Neutral,Sometimes,Unhappy,Supportive supervisors. Fair management. Weather challenges. Low wages.,Grape Production,Upington,Viticulturist,Seasonal,3
461,2025-02,Sometimes supported,Neutral,Rarely,Happy,Good communication. Safety is prioritized. Transportation issues. Inadequate breaks.,Administration,Citrusdal Pack House,Payroll Officer,Permanent,29
462,2025-02,Often supported,Satisfied,Rarely,Very happy,Opportunities to learn. Respectful treatment. Fair pay.,Maintenance,Upington,Maintenance Supervisor,Permanent,103
463,2025-02,Rarely supported,Dissatisfied,Sometimes,Very unhappy,Heavy workload. Too much overtime. Long hours.,Grape Production,Upington,Pruner,Seasonal,5
464,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Safety is prioritized. Fair management. Low wages. Weather challenges.,Maintenance,Dullstroom,Equipment Technician,Permanent,155
465,2025-02,Often supported,Satisfied,Rarely,Happy,Fair pay. Proper equipment provided. Clear instructions.,Logistics,Graaff-Reinet,Logistics Supervisor,Permanent,69
469,2025-02,Rarely supported,Dissatisfied,Often,Neutral,Poor equipment. Housing problems. Safety concerns.,Administration,Citrusdal,Office Manager,Permanent,122
470,2025-02,Often supported,Satisfied,Sometimes,Neutral,Good working environment. Good team. Regular breaks.,Maintenance,Dullstroom,Maintenance Supervisor,Permanent,105
473,2025-02,Rarely supported,Dissatisfied,Always,Neutral,Transportation issues. Heavy workload. Weather challenges. Safety is prioritized.,Grape Production,Upington,Viticulturist,Seasonal,5
476,2025-02,Sometimes supported,Neutral,Rarely,Neutral,Good working environment. Fair management. Inadequate breaks. Too much overtime.,Administration,Upington,Office Manager,Contract,42
479,2025-02,Rarely supported,Dissatisfied,Always,Unhappy,Too much overtime. Housing problems. Inadequate breaks.,Maize Production,Graaff-Reinet,Farm Worker,Seasonal,1
482,2025-02,Sometimes supported,Neutral,Rarely,Happy,Good working environment. Good team. Too much overtime. Unfair treatment.,Grape Production,Upington,Viticulturist,Permanent,80
485,2025-02,Often supported,Satisfied,Sometimes,Happy,Regular breaks. Opportunities to learn. Good communication. Too much overtime.,Administration,Upington,Admin Clerk,Permanent,80
489,2025-02,Sometimes supported,Neutral,Rarely,Happy,Proper equipment provided. Supportive supervisors. Inadequate breaks. Weather challenges.,Logistics,Citrusdal Pack House,Logistics Supervisor,Permanent,173
490,2025-02,Sometimes supported,Neutral,Often,Neutral,Good communication. Safety is prioritized. Long hours. Housing problems.,Citrus Production,Citrusdal,Irrigation Specialist,Permanent,107
494,2025-02,Sometimes supported,Neutral,Sometimes,Unhappy,Safety is prioritized. Fair pay. Unfair treatment. Housing problems.,Administration,Upington,Office Manager,Permanent,125
499,2025-02,Sometimes supported,Neutral,Often,Unhappy,Good communication. Regular breaks. Poor communication. Housing problems.,Logistics,Ceres,Driver,Permanent,173
502,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Weather challenges. Poor equipment. Long hours. Safety is prioritized.,Maize Production,Graaff-Reinet,Crop Specialist,Seasonal,2
505,2025-02,Sometimes supported,Neutral,Often,Unhappy,Good communication. Clear instructions. Poor equipment. Heavy workload.,Administration,Graaff-Reinet,HR Assistant,Permanent,31
507,2025-02,Often supported,Satisfied,Rarely,Neutral,Supportive supervisors. Fair management. Good communication.,Logistics,Citrusdal Pack House,Driver,Permanent,159
508,2025-02,Sometimes supported,Neutral,Often,Unhappy,Opportunities to learn. Proper equipment provided. Low wages. Too much overtime.,Cattle Farming,Dullstroom,Animal Care Specialist,Permanent,131
512,2025-02,Often supported,Satisfied,Rarely,Neutral,Respectful treatment. Fair management. Good communication.,Maintenance,Dullstroom,Equipment Technician,Permanent,1
513,2025-02,Sometimes supported,Neutral,Often,Neutral,Supportive supervisors. Good team. Heavy workload. Housing problems.,Pack House Operations,Ceres Pack House,Quality Inspector,Permanent,141
515,2025-02,Rarely supported,Dissatisfied,Often,Neutral,Safety concerns. Transportation issues. Inadequate breaks.,Maintenance,Upington,Maintenance Supervisor,Contract,30
516,2025-02,Sometimes supported,Neutral,Often,Neutral,Opportunities to learn. Proper equipment provided. Safety concerns. Poor equipment.,Pack House Operations,Ceres Pack House,Floor Supervisor,Permanent,6
521,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Unfair treatment. Poor communication. Too much overtime.,Grape Production,Upington,Harvester,Seasonal,2
523,2025-02,Rarely supported,Dissatisfied,Always,Very unhappy,Poor communication. Poor equipment. Too much overtime.,Pack House Operations,Citrusdal Pack House,Logistics Coordinator,Seasonal,2
532,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Good team. Clear instructions. Heavy workload. Unfair treatment.,Cattle Farming,Dullstroom,Farm Hand,Permanent,113
535,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Safety is prioritized. Fair management. Poor equipment. Safety concerns.,Administration,Upington,Data Entry Clerk,Permanent,117
537,2025-02,Often supported,Satisfied,Rarely,Happy,Respectful treatment. Good working environment. Opportunities to learn.,Administration,Ceres,Data Entry Clerk,Permanent,37
542,2025-02,Rarely supported,Dissatisfied,Often,Very unhappy,Unfair treatment. Safety concerns. Inadequate breaks. Fair management.,Grape Production,Upington,Viticulturist,Seasonal,3
548,2025-02,Sometimes supported,Neutral,Sometimes,Unhappy,Supportive supervisors. Fair management. Heavy workload. Inadequate breaks.,Citrus Production,Citrusdal,Tractor Driver,Seasonal,4
553,2025-02,Often supported,Satisfied,Rarely,Happy,Good team. Fair pay. Supportive supervisors. Housing problems.,Maintenance,Ceres Pack House,Maintenance Supervisor,Permanent,75
558,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Safety is prioritized. Regular breaks. Housing problems. Heavy workload.,Cattle Farming,Dullstroom,Livestock Supervisor,Permanent,162
559,2025-02,Often supported,Satisfied,Rarely,Happy,Regular breaks. Clear instructions. Opportunities to learn. Inadequate breaks.,Logistics,Citrusdal,Dispatcher,Permanent,77
560,2025-02,Often supported,Satisfied,Rarely,Happy,Proper equipment provided. Fair management. Good communication. Housing problems.,Administration,Citrusdal,Payroll Officer,Permanent,58
563,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Long hours. Low wages. Inadequate breaks.,Maize Production,Graaff-Reinet,Tractor Driver,Seasonal,4
564,2025-02,Sometimes supported,Neutral,Sometimes,Very happy,Regular breaks. Good team. Poor communication. Safety concerns.,Administration,Ceres,Payroll Officer,Permanent,30
567,2025-02,Often supported,Satisfied,Sometimes,Neutral,Safety is prioritized. Proper equipment provided. Clear instructions. Poor communication.,Grape Production,Upington,Viticulturist,Permanent,109
570,2025-02,Not at all supported,Very dissatisfied,Always,Unhappy,Poor equipment. Unfair treatment. Heavy workload.,Pack House Operations,Ceres,Floor Supervisor,Seasonal,3
571,2025-02,Rarely supported,Dissatisfied,Sometimes,Very happy,Poor communication. Long hours. Unfair treatment.,Cattle Farming,Dullstroom,Milking Technician,Seasonal,3
575,2025-02,Sometimes supported,Neutral,Sometimes,Unhappy,Fair pay. Regular breaks. Low wages. Poor communication.,Citrus Production,Citrusdal,Tractor Driver,Permanent,18
577,2025-02,Rarely supported,Dissatisfied,Often,Neutral,Inadequate breaks. Low wages. Poor communication. Good team.,Citrus Production,Ceres,Harvester,Seasonal,2
578,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Proper equipment provided. Opportunities to learn. Transportation issues. Long hours.,Pack House Operations,Ceres Pack House,Sorter,Seasonal,3
579,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Transportation issues. Weather challenges. Poor equipment.,Pack House Operations,Ceres Pack House,Logistics Coordinator,Seasonal,5
581,2025-02,Sometimes supported,Neutral,Rarely,Happy,Supportive supervisors. Good team. Long hours. Too much overtime.,Maintenance,Ceres Pack House,Maintenance Worker,Permanent,96
582,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Weather challenges. Safety concerns. Housing problems. Respectful treatment.,Pack House Operations,Citrusdal Pack House,Quality Inspector,Seasonal,3
583,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Safety is prioritized. Opportunities to learn. Heavy workload. Poor communication.,Cattle Farming,Dullstroom,Livestock Supervisor,Seasonal,5
586,2025-02,Sometimes supported,Neutral,Often,Neutral,Good team. Clear instructions. Heavy workload. Inadequate breaks.,Administration,Citrusdal Pack House,Admin Clerk,Permanent,109
587,2025-02,Sometimes supported,Neutral,Often,Neutral,Fair management. Respectful treatment. Poor communication. Safety concerns.,Cattle Farming,Dullstroom,Farm Hand,Contract,29
588,2025-02,Sometimes supported,Neutral,Sometimes,Unhappy,Safety is prioritized. Fair management. Long hours. Poor communication.,Citrus Production,Citrusdal,Harvester,Seasonal,1
590,2025-02,Sometimes supported,Neutral,Rarely,Neutral,Proper equipment provided. Safety is prioritized. Transportation issues. Poor equipment.,Cattle Farming,Dullstroom,Livestock Supervisor,Permanent,151
591,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Transportation issues. Too much overtime. Housing problems.,Maize Production,Graaff-Reinet,Field Supervisor,Seasonal,2
593,2025-02,Rarely supported,Dissatisfied,Sometimes,Neutral,Poor communication. Poor equipment. Weather challenges.,Logistics,Upington,Driver,Permanent,9
597,2025-02,Sometimes supported,Neutral,Rarely,Happy,Fair pay. Proper equipment provided. Long hours. Housing problems.,Logistics,Ceres Pack House,Forklift Operator,Permanent,41
598,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Regular breaks. Good communication. Poor equipment. Too much overtime.,Maize Production,Graaff-Reinet,Tractor Driver,Permanent,185
599,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Long hours. Heavy workload. Low wages. Good working environment.,Citrus Production,Citrusdal,Harvester,Seasonal,3
600,2025-02,Sometimes supported,Neutral,Often,Unhappy,Proper equipment provided. Fair pay. Unfair treatment. Housing problems.,Maintenance,Citrusdal Pack House,Equipment Technician,Permanent,50
601,2025-02,Often supported,Satisfied,Sometimes,Happy,Proper equipment provided. Fair management. Supportive supervisors.,Grape Production,Upington,Viticulturist,Permanent,84
602,2025-02,Often supported,Satisfied,Never,Happy,Fair management. Opportunities to learn. Good working environment.,Maintenance,Ceres Pack House,Maintenance Supervisor,Permanent,131
605,2025-02,Sometimes supported,Neutral,Sometimes,Unhappy,Fair pay. Clear instructions. Heavy workload. Weather challenges.,Maintenance,Citrusdal Pack House,Maintenance Supervisor,Permanent,163
606,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Supportive supervisors. Good communication. Low wages. Heavy workload.,Grape Production,Upington,Pruner,Seasonal,1
607,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Fair management. Supportive supervisors. Poor communication. Unfair treatment.,Maintenance,Upington,Electrician,Permanent,156
608,2025-02,Rarely supported,Dissatisfied,Sometimes,Unhappy,Poor communication. Transportation issues. Inadequate breaks. Clear instructions.,Citrus Production,Citrusdal,Farm Supervisor,Seasonal,3
609,2025-02,Sometimes supported,Neutral,Rarely,Neutral,Respectful treatment. Good working environment. Low wages. Inadequate breaks.,Logistics,Citrusdal Pack House,Dispatcher,Permanent,157
611,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Good communication. Fair management. Long hours. Weather challenges.,Logistics,Graaff-Reinet,Driver,Contract,44
613,2025-02,Sometimes supported,Neutral,Often,Unhappy,Fair pay. Clear instructions. Inadequate breaks. Unfair treatment.,Administration,Dullstroom,Payroll Officer,Seasonal,2
614,2025-02,Often supported,Satisfied,Rarely,Very happy,Good team. Regular breaks. Opportunities to learn. Low wages.,Administration,Dullstroom,Admin Clerk,Permanent,182
617,2025-02,Sometimes supported,Neutral,Rarely,Happy,Fair pay. Proper equipment provided. Safety concerns. Low wages.,Pack House Operations,Ceres,Packer,Permanent,159
618,2025-02,Often supported,Satisfied,Never,Happy,Good working environment. Fair management. Opportunities to learn.,Pack House Operations,Ceres,Machine Operator,Permanent,27
619,2025-02,Often supported,Satisfied,Never,Very happy,Good working environment. Good communication. Proper equipment provided.,Maintenance,Graaff-Reinet,Mechanic,Permanent,56
620,2025-02,Often supported,Satisfied,Rarely,Happy,Proper equipment provided. Fair pay. Respectful treatment. Poor equipment.,Logistics,Citrusdal Pack House,Logistics Supervisor,Permanent,114
621,2025-02,Rarely supported,Dissatisfied,Sometimes,Unhappy,Safety concerns. Poor communication. Too much overtime. Supportive supervisors.,Maintenance,Dullstroom,Equipment Technician,Seasonal,5
623,2025-02,Sometimes supported,Neutral,Often,Neutral,Good communication. Fair pay. Poor equipment. Low wages.,Grape Production,Upington,Pruner,Permanent,108
626,2025-02,Often supported,Satisfied,Rarely,Happy,Proper equipment provided. Regular breaks. Supportive supervisors. Too much overtime.,Maintenance,Graaff-Reinet,Maintenance Supervisor,Permanent,34
629,2025-02,Rarely supported,Dissatisfied,Often,Neutral,Housing problems. Too much overtime. Unfair treatment.,Maize Production,Graaff-Reinet,Farm Worker,Seasonal,3
633,2025-02,Rarely supported,Dissatisfied,Sometimes,Unhappy,Housing problems. Poor communication. Too much overtime.,Maize Production,Graaff-Reinet,Field Supervisor,Seasonal,4
636,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Housing problems. Transportation issues. Inadequate breaks.,Pack House Operations,Citrusdal Pack House,Machine Operator,Seasonal,2
638,2025-02,Often supported,Satisfied,Never,Happy,Good working environment. Good communication. Supportive supervisors.,Maintenance,Upington,Equipment Technician,Permanent,188
639,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Opportunities to learn. Safety is prioritized. Unfair treatment. Heavy workload.,Citrus Production,Citrusdal,Tractor Driver,Seasonal,4
640,2025-02,Often supported,Satisfied,Rarely,Happy,Fair management. Supportive supervisors. Safety is prioritized.,Maintenance,Ceres Pack House,Maintenance Worker,Permanent,105
642,2025-02,Rarely supported,Dissatisfied,Often,Very unhappy,Unfair treatment. Housing problems. Transportation issues.,Pack House Operations,Ceres Pack House,Packer,Seasonal,3
644,2025-02,Rarely supported,Dissatisfied,Often,Neutral,Long hours. Poor equipment. Housing problems.,Grape Production,Upington,Vineyard Supervisor,Seasonal,4
650,2025-02,Often supported,Satisfied,Rarely,Neutral,Good communication. Regular breaks. Clear instructions. Poor communication.,Maintenance,Upington,Maintenance Worker,Permanent,179
651,2025-02,Rarely supported,Dissatisfied,Often,Very unhappy,Unfair treatment. Long hours. Heavy workload. Regular breaks.,Citrus Production,Citrusdal,Tractor Driver,Seasonal,3
652,2025-02,Sometimes supported,Neutral,Rarely,Happy,Opportunities to learn. Clear instructions. Inadequate breaks. Poor communication.,Maintenance,Upington,Maintenance Supervisor,Contract,26
653,2025-02,Often supported,Satisfied,Rarely,Unhappy,Regular breaks. Clear instructions. Fair pay.,Grape Production,Upington,Harvester,Permanent,86
658,2025-02,Always supported,Very satisfied,Never,Neutral,Clear instructions. Regular breaks. Good communication. Too much overtime.,Administration,Dullstroom,Office Manager,Permanent,155
660,2025-02,Sometimes supported,Neutral,Often,Unhappy,Fair pay. Proper equipment provided. Heavy workload. Too much overtime.,Logistics,Ceres,Warehouse Worker,Contract,16
662,2025-02,Often supported,Satisfied,Sometimes,Happy,Good communication. Supportive supervisors. Fair pay.,Maintenance,Graaff-Reinet,Maintenance Supervisor,Permanent,151
663,2025-02,Often supported,Satisfied,Rarely,Happy,Supportive supervisors. Proper equipment provided. Opportunities to learn. Transportation issues.,Administration,Upington,Admin Clerk,Permanent,58
668,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Safety concerns. Inadequate breaks. Too much overtime. Proper equipment provided.,Maize Production,Graaff-Reinet,Harvester,Seasonal,2
670,2025-02,Sometimes supported,Neutral,Sometimes,Unhappy,Opportunities to learn. Supportive supervisors. Low wages. Inadequate breaks.,Citrus Production,Citrusdal,Tractor Driver,Seasonal,1
671,2025-02,Rarely supported,Dissatisfied,Often,Neutral,Poor communication. Housing problems. Transportation issues.,Maintenance,Citrusdal,Maintenance Supervisor,Contract,2
672,2025-02,Not at all supported,Very dissatisfied,Always,Very unhappy,Poor communication. Transportation issues. Weather challenges.,Pack House Operations,Citrusdal Pack House,Quality Inspector,Seasonal,3
674,2025-02,Often supported,Satisfied,Rarely,Happy,Good working environment. Fair management. Proper equipment provided. Long hours.,Citrus Production,Citrusdal,Farm Worker,Permanent,159
676,2025-02,Sometimes supported,Neutral,Often,Neutral,Opportunities to learn. Safety is prioritized. Transportation issues. Low wages.,Administration,Ceres Pack House,Admin Clerk,Permanent,177
681,2025-02,Not at all supported,Very dissatisfied,Always,Unhappy,Poor equipment. Transportation issues. Long hours.,Pack House Operations,Ceres Pack House,Packer,Seasonal,5
683,2025-02,Rarely supported,Dissatisfied,Often,Neutral,Poor equipment. Unfair treatment. Transportation issues.,Pack House Operations,Ceres,Machine Operator,Seasonal,3
685,2025-02,Rarely supported,Dissatisfied,Often,Very unhappy,Transportation issues. Poor equipment. Long hours. Clear instructions.,Pack House Operations,Citrusdal Pack House,Logistics Coordinator,Seasonal,5
686,2025-02,Sometimes supported,Neutral,Rarely,Neutral,Opportunities to learn. Good team. Inadequate breaks. Weather challenges.,Logistics,Citrusdal,Logistics Supervisor,Permanent,41
688,2025-02,Often supported,Satisfied,Rarely,Neutral,Proper equipment provided. Fair management. Good team.,Logistics,Upington,Driver,Permanent,42
690,2025-02,Rarely supported,Dissatisfied,Often,Unhappy,Long hours. Safety concerns. Weather challenges.,Maize Production,Graaff-Reinet,Field Supervisor,Seasonal,4
693,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Fair management. Fair pay. Too much overtime. Safety concerns.,Logistics,Ceres Pack House,Forklift Operator,Permanent,175
695,2025-02,Often supported,Satisfied,Rarely,Very happy,Good working environment. Good communication. Fair pay. Poor communication.,Maintenance,Citrusdal,Maintenance Worker,Contract,26
697,2025-02,Rarely supported,Dissatisfied,Always,Unhappy,Transportation issues. Low wages. Heavy workload. Good working environment.,Citrus Production,Citrusdal,Farm Worker,Seasonal,1
700,2025-02,Sometimes supported,Neutral,Rarely,Unhappy,Good team. Opportunities to learn. Weather challenges. Inadequate breaks.,Administration,Upington,Payroll Officer,Permanent,1
702,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Regular breaks. Safety is prioritized. Too much overtime. Heavy workload.,Logistics,Ceres Pack House,Driver,Permanent,163
703,2025-02,Often supported,Satisfied,Rarely,Neutral,Opportunities to learn. Good working environment. Proper equipment provided.,Maintenance,Dullstroom,Maintenance Supervisor,Permanent,144
704,2025-02,Always supported,Very satisfied,Never,Very happy,Good communication. Regular breaks. Proper equipment provided.,Cattle Farming,Dullstroom,Livestock Supervisor,Permanent,169
706,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Fair pay. Good communication. Weather challenges. Low wages.,Grape Production,Upington,Harvester,Permanent,114
708,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Good team. Proper equipment provided. Too much overtime. Poor equipment.,Pack House Operations,Ceres Pack House,Floor Supervisor,Seasonal,3
709,2025-02,Often supported,Satisfied,Rarely,Neutral,Safety is prioritized. Fair pay. Clear instructions.,Administration,Ceres,Office Manager,Permanent,143
713,2025-02,Often supported,Satisfied,Rarely,Neutral,Good working environment. Safety is prioritized. Good team.,Maintenance,Ceres Pack House,Electrician,Contract,37
716,2025-02,Sometimes supported,Neutral,Often,Neutral,Good communication. Good team. Low wages. Long hours.,Maintenance,Graaff-Reinet,Maintenance Supervisor,Permanent,34
717,2025-02,Rarely supported,Dissatisfied,Often,Neutral,Transportation issues. Too much overtime. Inadequate breaks. Good communication.,Pack House Operations,Ceres,Packer,Seasonal,3
718,2025-02,Often supported,Satisfied,Rarely,Happy,Opportunities to learn. Respectful treatment. Supportive supervisors.,Administration,Citrusdal Pack House,Admin Clerk,Permanent,110
720,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Good communication. Fair pay. Weather challenges. Safety concerns.,Grape Production,Upington,Vineyard Supervisor,Permanent,117
723,2025-02,Rarely supported,Dissatisfied,Often,Very unhappy,Too much overtime. Safety concerns. Long hours. Clear instructions.,Pack House Operations,Ceres Pack House,Packer,Seasonal,2
724,2025-02,Often supported,Satisfied,Sometimes,Happy,Clear instructions. Good team. Proper equipment provided.,Administration,Citrusdal,Office Manager,Contract,41
725,2025-02,Sometimes supported,Neutral,Rarely,Neutral,Regular breaks. Proper equipment provided. Poor equipment. Low wages.,Logistics,Ceres,Logistics Supervisor,Permanent,188
726,2025-02,Sometimes supported,Neutral,Sometimes,Neutral,Proper equipment provided. Good communication. Too much overtime. Transportation issues.,Pack House Operations,Ceres Pack House,Packer,Permanent,35
727,2025-02,Sometimes supported,Neutral,Rarely,Happy,Respectful treatment. Clear instructions. Inadequate breaks. Low wages.,Administration,Citrusdal Pack House,HR Assistant,Contract,33
728,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Proper equipment provided. Opportunities to learn. Housing problems. Unfair treatment.,Logistics,Ceres Pack House,Forklift Operator,Permanent,13
729,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Safety is prioritized. Good communication. Long hours. Poor communication.,Maize Production,Graaff-Reinet,Tractor Driver,Seasonal,4
733,2025-02,Sometimes supported,Neutral,Rarely,Neutral,Regular breaks. Clear instructions. Long hours. Poor communication.,Administration,Ceres,Admin Clerk,Permanent,161
737,2025-02,Often supported,Satisfied,Sometimes,Very happy,Clear instructions. Fair management. Proper equipment provided. Heavy workload.,Cattle Farming,Dullstroom,Cattle Herder,Permanent,129
738,2025-02,Sometimes supported,Neutral,Sometimes,Happy,Fair management. Good team. Long hours. Low wages.,Pack House Operations,Ceres,Quality Inspector,Permanent,134
741,2025-02,Rarely supported,Dissatisfied,Always,Unhappy,Housing problems. Poor communication. Too much overtime. Supportive supervisors.,Grape Production,Upington,Vineyard Worker,Seasonal,3
744,2025-02,Sometimes supported,Neutral,Often,Very unhappy,Regular breaks. Good working environment. Poor communication. Unfair treatment.,Logistics,Upington,Forklift Operator,Permanent,3
